age,education,marital_status,employment_type,employment_length_years,annual_income,credit_history_length,num_open_accounts,credit_limit,credit_utilization,existing_debt,num_late_payments_12m,num_credit_inquiries_6m,loan_amount_requested,home_ownership,purpose,default
46,high_school,married,self_employed,13.3,27023.77,27,7,16076.89,0.301,12040.27,1,0,8045.72,RENT,debt_consolidation,0
38,phd,single,self_employed,8.8,49650.57,16,4,22033.76,0.503,12519.43,0,2,6613.34,OWN,other,0
48,masters,married,salaried,9.5,106461.44,26,7,76513.22,0.49,43317.27,4,0,27658.08,MORTGAGE,car,1
58,masters,married,salaried,11.2,161383.63,36,11,51625.03,0.349,19642.08,0,1,28821.49,MORTGAGE,debt_consolidation,0
37,bachelors,married,self_employed,6.0,50454.02,15,1,32041.77,0.221,16034.48,1,1,17951.0,OWN,medical,0
37,high_school,single,salaried,4.0,44704.62,13,4,20583.25,0.168,9602.83,0,0,7090.01,RENT,debt_consolidation,0
59,high_school,single,self_employed,5.7,70756.89,40,4,48960.74,0.17,18963.82,0,0,19552.74,MORTGAGE,debt_consolidation,0
49,masters,married,self_employed,8.7,44391.86,31,9,21549.61,0.086,3796.92,0,0,8564.1,RENT,other,0
34,bachelors,single,retired,5.0,19404.32,14,4,9541.56,0.018,6343.91,0,1,6989.64,RENT,debt_consolidation,0
47,high_school,single,salaried,4.4,34432.78,26,4,9368.15,0.157,5256.77,0,2,9742.7,MORTGAGE,debt_consolidation,0
34,bachelors,married,salaried,2.1,58708.09,16,1,15042.84,0.32,13815.39,0,0,18207.27,MORTGAGE,debt_consolidation,0
34,bachelors,single,salaried,7.1,75384.42,9,0,28420.45,0.434,16027.88,0,3,12462.36,OWN,credit_card,0
43,bachelors,divorced,salaried,4.7,90932.93,25,6,54158.8,0.439,31281.26,0,3,11738.23,MORTGAGE,debt_consolidation,0
21,bachelors,single,self_employed,0.0,36676.61,0,1,8061.84,0.568,5158.53,0,1,9237.36,RENT,debt_consolidation,0
21,bachelors,married,salaried,0.0,32054.77,2,4,13999.21,0.424,7441.38,1,2,10673.05,RENT,debt_consolidation,1
33,masters,single,salaried,4.7,39581.78,15,1,24141.35,0.084,4775.2,0,0,10326.46,OWN,credit_card,0
28,high_school,married,retired,5.0,14562.18,7,2,6555.29,0.367,4704.88,0,1,3413.21,MORTGAGE,car,0
44,high_school,married,salaried,12.9,49363.58,22,9,32880.43,0.511,20087.74,0,2,6472.52,MORTGAGE,debt_consolidation,1
29,bachelors,married,salaried,2.0,46124.53,8,2,16944.66,0.43,11672.07,0,0,7522.53,RENT,debt_consolidation,1
23,phd,married,salaried,1.1,53228.15,5,7,28932.92,0.44,13486.05,0,2,11534.54,MORTGAGE,other,1
58,bachelors,single,unemployed,0.0,9546.29,37,8,7358.99,0.502,8703.56,3,3,1105.13,MORTGAGE,other,1
37,bachelors,single,self_employed,2.4,82482.47,14,6,32188.18,0.522,18067.49,0,0,29228.92,OWN,credit_card,1
41,bachelors,widowed,salaried,11.7,47901.96,18,3,26813.85,0.229,23039.4,1,1,5223.76,MORTGAGE,credit_card,0
23,bachelors,married,salaried,0.7,31392.57,5,4,10628.76,0.228,5506.34,0,0,3750.08,RENT,debt_consolidation,0
33,phd,married,retired,6.5,40181.81,13,0,12980.75,0.224,8658.48,0,0,3226.73,OWN,home_improvement,0
41,masters,divorced,salaried,9.6,42234.0,16,4,10565.32,0.333,6474.46,0,0,14584.57,RENT,credit_card,1
26,bachelors,single,salaried,1.2,24099.84,5,3,5204.23,0.282,18400.42,1,0,9406.13,OWN,credit_card,1
45,bachelors,married,salaried,12.7,37918.78,24,1,21144.56,0.322,11942.67,0,2,4007.37,OWN,car,0
33,high_school,single,salaried,2.1,19982.91,8,4,10842.0,0.342,6548.27,0,2,5459.13,OWN,credit_card,0
36,bachelors,single,salaried,5.7,39016.77,14,5,21474.11,0.802,18647.11,0,2,7493.49,MORTGAGE,home_improvement,1
33,bachelors,single,retired,5.0,9594.75,10,5,1768.44,0.292,1777.41,0,0,1952.63,RENT,debt_consolidation,0
62,bachelors,divorced,salaried,12.8,45006.57,38,3,24673.81,0.738,21491.21,3,0,8765.14,MORTGAGE,debt_consolidation,1
40,high_school,married,unemployed,0.0,4014.37,15,5,1351.16,0.296,5441.98,0,2,1539.71,RENT,debt_consolidation,1
27,masters,single,self_employed,2.7,41524.29,7,1,11893.37,0.145,15985.79,1,0,8529.34,OWN,home_improvement,1
50,bachelors,single,salaried,10.1,42932.34,27,6,14777.51,0.504,18176.95,2,1,7308.79,RENT,debt_consolidation,1
25,bachelors,single,retired,5.0,25300.89,7,3,12696.5,0.121,2362.72,0,0,7358.72,MORTGAGE,debt_consolidation,0
43,high_school,divorced,salaried,3.7,37022.86,20,2,12310.98,0.386,22888.66,0,0,4585.96,OWN,car,0
21,bachelors,married,salaried,0.0,21331.26,0,3,7263.77,0.396,9771.2,1,2,6752.05,RENT,credit_card,1
24,masters,divorced,salaried,1.7,33931.97,0,3,7981.52,0.766,6768.1,3,1,5112.65,MORTGAGE,debt_consolidation,1
42,bachelors,divorced,self_employed,11.2,74868.57,19,5,28111.36,0.678,32091.69,0,1,14590.19,OWN,medical,0
49,bachelors,divorced,salaried,5.7,31168.58,28,4,10952.78,0.725,9089.98,3,2,8078.1,MORTGAGE,debt_consolidation,1
42,high_school,single,salaried,4.3,69699.0,21,4,36855.78,0.069,5350.68,0,1,16745.18,MORTGAGE,debt_consolidation,0
39,bachelors,single,salaried,7.6,45577.09,19,6,27732.41,0.316,12929.4,1,1,3305.8,OWN,debt_consolidation,0
36,masters,married,salaried,6.7,30930.98,14,1,11175.3,0.229,3338.07,0,2,10762.03,OWN,credit_card,0
